Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Synopsys Inc.,SNPS,87160710,2867719,0.165575,Information Technology,1679447,USD
O'Reilly Automotive Inc.,ORLY,67103H10,B65LWX6,0.163883,Consumer Discretionary,688501,USD
Freeport-McMoRan Inc.,FCX,35671D85,2352118,0.163383,Materials,15749192,USD
Sherwin-Williams Company,SHW,82434810,2804211,0.161319,Materials,2598489,USD
Edwards Lifesciences Corporation,EW,2.82E+14,2567116,0.158571,Health Care,6805134,USD
Pioneer Natural Resources Company,PXD,72378710,2690830,0.156041,Energy,2616569,USD
FedEx Corporation,FDX,31428X10,2142784,0.155882,Industrials,2558499,USD
Crown Castle Inc.,CCI,22822V10,BTGQCX1,0.155607,Real Estate,4763292,USD
General Mills Inc.,GIS,37033410,2367026,0.150192,Consumer Staples,6531608,USD
KLA Corporation,KLAC,48248010,2480138,0.149107,Information Technology,1526010,USD
General Dynamics Corporation,GD,36955010,2365161,0.146087,Industrials,2479550,USD
AutoZone Inc.,AZO,5333210,2065955,0.145222,Consumer Discretionary,206701,USD
PNC Financial Services Group Inc.,PNC,69347510,2692665,0.144691,Financials,4436609,USD
Dollar General Corporation,DG,25667710,B5B1S13,0.143796,Consumer Staples,2463383,USD
Chipotle Mexican Grill Inc.,CMG,16965610,B0X7DZ3,0.143465,Consumer Discretionary,304216,USD
McKesson Corporation,MCK,58155Q10,2378534,0.143325,Health Care,1508995,USD
Sempra Energy,SRE,81685110,2138158,0.14325,Utilities,3458014,USD
Motorola Solutions Inc.,MSI,62007630,B5BKPQ4,0.141865,Information Technology,1842441,USD
Emerson Electric Co.,EMR,29101110,2313405,0.141415,Industrials,6295801,USD
American Electric Power Company Inc.,AEP,2553710,2026242,0.139796,Utilities,5652436,USD
Norfolk Southern Corporation,NSC,65584410,2641894,0.139583,Industrials,2509910,USD
Kimberly-Clark Corporation,KMB,49436810,2491839,0.139005,Consumer Staples,3718832,USD
Dominion Energy Inc,D,25746U10,2542049,0.138599,Utilities,9181630,USD
General Motors Company,GM,37045V10,B665KZ5,0.138285,Consumer Discretionary,15366810,USD
Ford Motor Company,F,34537086,2615468,0.138139,Consumer Discretionary,43287100,USD
DexCom Inc.,DXCM,25213110,B0796X4,0.138081,Health Care,4248990,USD
Moody's Corporation,MCO,61536910,2252058,0.13737,Financials,1729531,USD
Roper Technologies Inc.,ROP,77669610,2749602,0.137096,Information Technology,1166695,USD
Phillips 66,PSX,71854610,B78C4Y8,0.135684,Energy,5134751,USD
Marriott International Inc. Class A,MAR,57190320,2210614,0.135419,Consumer Discretionary,2959942,USD
Valero Energy Corporation,VLO,91913Y10,2041364,0.133574,Energy,4241488,USD
Amphenol Corporation Class A,APH,3209510,2145084,0.132291,Information Technology,6546599,USD
U.S. Bancorp,USB,90297330,2736035,0.1321,Financials,15351085,USD
Moderna Inc.,MRNA,60770K10,BGSXTS3,0.131744,Health Care,3634022,USD
Occidental Petroleum Corporation,OXY,67459910,2655408,0.13174,Energy,7998533,USD
Public Storage,PSA,74460D10,2852533,0.131687,Real Estate,1741711,USD
Archer-Daniels-Midland Company,ADM,3948310,2047317,0.128138,Consumer Staples,6042888,USD
Arthur J. Gallagher & Co.,AJG,36357610,2359506,0.127208,Financials,2336899,USD
NXP Semiconductors NV,NXPI,N6596X10,B505PN7,0.127082,Information Technology,2850319,USD
Corteva Inc,CTVA,22052L10,BK73B42,0.127045,Materials,7870273,USD
MSCI Inc. Class A,MSCI,55354G10,B2972D2,0.125753,Financials,879852,USD
Exelon Corporation,EXC,30161N10,2670519,0.124855,Utilities,10949489,USD
Fortinet Inc.,FTNT,3.50E+14,B5B2106,0.124005,Information Technology,7132323,USD
Microchip Technology Incorporated,MCHP,59501710,2592174,0.122411,Information Technology,6036544,USD
Autodesk Inc.,ADSK,5276910,2065159,0.12229,Information Technology,2379401,USD
Biogen Inc.,BIIB,09062X10,2455965,0.122185,Health Care,1588855,USD
Truist Financial Corporation,TFC,89832Q10,BKP7287,0.121881,Financials,14595275,USD
IDEXX Laboratories Inc.,IDXX,45168D10,2459202,0.120655,Health Care,912908,USD
Parker-Hannifin Corporation,PH,70109410,2671501,0.11978,Industrials,1413229,USD
Travelers Companies Inc.,TRV,8.94E+14,2769503,0.119712,Financials,2546507,USD
Ecolab Inc.,ECL,27886510,2304227,0.119008,Materials,2730462,USD
Agilent Technologies Inc.,A,00846U10,2520153,0.118341,Health Care,3256307,USD
Trane Technologies plc,TT,G8994E10,BK9ZQ96,0.11816,Industrials,2533306,USD
Monster Beverage Corporation,MNST,61174X10,BZ07BW4,0.11808,Consumer Staples,8378716,USD
TE Connectivity Ltd.,TEL,H8498910,B62B7C3,0.118021,Information Technology,3506260,USD
Hess Corporation,HES,42809H10,2023748,0.116926,Energy,3057312,USD
Johnson Controls International plc,JCI,G5150210,BY7QL61,0.115754,Industrials,7550070,USD
MetLife Inc.,MET,59156R10,2573209,0.114939,Financials,7249958,USD
TransDigm Group Incorporated,TDG,89364110,B11FJK3,0.114774,Industrials,571499,USD
Hilton Worldwide Holdings Inc,HLT,43300A20,BYVMW06,0.114382,Consumer Discretionary,2936002,USD
Cintas Corporation,CTAS,17290810,2197137,0.114372,Industrials,951632,USD
Nucor Corporation,NUE,67034610,2651086,0.11343,Materials,2787790,USD
Yum! Brands Inc.,YUM,98849810,2098876,0.112934,Consumer Discretionary,3098118,USD
Dow Inc.,DOW,26055710,BHXCF84,0.112529,Materials,7741236,USD
Realty Income Corporation,O,75610910,2724193,0.112427,Real Estate,6899640,USD
Xcel Energy Inc.,XEL,98389B10,2614807,0.112211,Utilities,6019639,USD
Arista Networks Inc.,ANET,4041310,BN33VM5,0.11205,Information Technology,2727149,USD
